Hostname,IP Address,Status
CA-PRD-UMCON15.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-PRP-REIS-PROXY.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-ccs-06.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-PRP-PDR.yas.tg,10.228.15.100; 10.228.20.22,Resolved
CA-DT-DNS-GRAFANA.yas.tg,Not found or domain doesn't exist,Not Resolved
prd01-db2.ws.togocom.tg,10.228.15.100; 10.228.11.210,Resolved
CA-PRD-SUPER-RPDB-01.TOGOCOM.TG,10.228.15.100; 10.228.12.47,Resolved
prp01-apimnt1.ws.togocom.tg,10.228.15.100; 10.228.19.206,Resolved
cbdb-standbycoordinator.yas.tg,Not found or domain doesn't exist,Not Resolved
ca-prd-cms-ccs-04.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-SMS-FIREWALL01.togocom.tg,10.228.15.100; 10.228.11.75,Resolved
lo-prd-umdbe04.momo.togocom.tg,10.228.15.100; 10.228.10.217,Resolved
LO-PRP-SYNC-APP02.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-UMDBO001-TEST-01.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
dev01-okd1.ws.togocom.tg,10.228.15.100; 10.228.27.11,Resolved
CA-DEVICE-OTA.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-WEBSITE-DB-01.togocom.tg,10.228.15.100; 10.228.12.57,Resolved
CA-PRD-UMENG009.momo.togocom.tg,Not found or domain doesn't exist,Not Resolved
helpdesklab.togocom.tg,10.228.15.100; 10.228.23.213,Resolved
CA-EKS-ADM-CPU.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-PRD-WSPGSQL01.ws.togocom.tg,10.228.15.100; 10.228.13.11,Resolved
CA-PRP-WSAMQP02.ws.togocom.tg,10.228.15.100; 10.228.19.25,Resolved
ca-prd-dim-redis.togocom.tg,Not found or domain doesn't exist,Not Resolved
